Venue,latitude,longitude,elevation,geocode_result
"Katara Amphitheatre, Doha (QAT)",25.2678234,51.5587853,17.0,"قاعة المغادرة مطار الدوحة الدولي, حديقة المطار, مطار الدوحة الدولي, الدوحة, قطر"
Brescia (ITA),45.7795805,10.425873,1088.0,"Brescia, Lombardia, Italia"
"Stadion Evžena Rošického, Praha (TCH)",50.0804471,14.383631889114,349.0,NOT FOUND
Kobe (JPN),34.6932379,135.1943764,21.0,NOT FOUND
Johannesburg (RSA),-26.205,28.049722,1747.0,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
Ancona (ITA) (i),43.4801189,13.2187279,105.0,"Ancona, Marche, Italia"
Senftenberg (GER) (i),51.519201,14.0046541,107.0,"Senftenberg - Zły Komorow, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, Deutschland"
Karl Marx Stadt (GDR),50.8323531,12.918914,304.0,NOT FOUND
Oristano (ITA),39.6845758,8.7458851,108.0,"Monte Ita, Mòguru/Mogoro, Aristanis/Oristano, Sardigna/Sardegna, 09095, Italia"
Frankfurt (GER) (i),50.1106444,8.6820917,104.0,"Frankfurt am Main, Hessen, Deutschland"
Otterberg (GER) (i),49.5008961,7.7723649,249.0,"Otterberg, Otterbach-Otterberg, Landkreis Kaiserslautern, Rheinland-Pfalz, 67697, Deutschland"
Madrid (ESP) (i),4.7279951,-74.284617,2548.0,"Aguas de La Prosperidad ESP, Carrera 23, Potrero Grande, Madrid, Sabana Occidente, Cundinamarca, RAP (Especial) Central, 250030, Colombia"
"Palau Sant Jordi, Barcelona (ESP) (i)",41.3825802,2.177073,29.0,NOT FOUND
Paris (FRA),48.8768121,2.3362381,44.0,"Fra Papi, 31, Rue Saint-Lazare, Quartier Saint-Georges, Nouvelle Athènes, Paris, Île-de-France, France métropolitaine, 75009, France"
Wuppertal (GER) (i),51.264018,7.1780374,151.0,"Wuppertal, Nordrhein-Westfalen, Deutschland"
Spala (POL) (i),51.5401769,20.1362048,157.0,NOT FOUND
Moskva (RUS),55.6918053,37.5556847,182.0,"РГУ нефти и газа (НИУ) им. И. М. Губкина, улица Дмитрия Ульянова, Гагаринский район, Москва, Центральный федеральный округ, 119333, Россия"
Salgótarján (HUN),48.0960676,19.8005642,240.0,NOT FOUND
